100,0.126,0,0
95,0.807,0.5,-1.438
90,1.448,1,-2.074
85,2.053,2,-2.925
80,2.623,3,-3.522
75,3.16,4,-3.982
70,3.664,5,-4.351
65,4.133,6,-4.655
60,4.563,8,-5.121
55,4.952,10,-5.454
50,5.294,12.5,-5.74
44.9,5.588,15,-5.924
39.9,5.808,17.5,-6.033
34.9,5.951,20,-6.087
29.9,6.002,22.5,-6.1
27.5,6.048,25,-6.084
25,6.084,27.5,-6.048
22.5,6.1,29.9,-6.002
20,6.087,34.9,-5.951
17.5,6.033,39.9,-5.808
15,5.924,44.9,-5.588
12.5,5.74,50,-5.294
10,5.454,55,-4.952
8,5.121,60,-4.563
6,4.655,65,-4.133
5,4.351,70,-3.664
4,3.982,75,-3.16
3,3.522,80,-2.623
2,2.925,85,-2.053
1,2.074,90,-1.448
0.5,1.438,95,-0.807
0,0,100,-0.126
